127.0.0.1 - - [20/Aug/2016:14:11:08 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:24 +0530] "GET /OnlineTravel1/index2.jsp HTTP/1.1" 200 15127
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/bootstrap-3.3.6-dist/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/bootstrap-3.3.6-dist/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/font-awesome-4.6.3/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/css/style.css HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/bootstrap-social-gh-pages/bootstrap-social.css HTTP/1.1" 200 33831
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/jquery/dist/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/img/image1.jpg HTTP/1.1" 200 215693
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/img/image3.jpg HTTP/1.1" 200 254504
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/img/image2.jpg HTTP/1.1" 200 293388
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/img/image4.jpg HTTP/1.1" 200 181529
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:25 +0530] "GET /OnlineTravel1/img/image5.jpg HTTP/1.1" 200 100731
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:26 +0530] "GET /OnlineTravel1/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:26 +0530] "GET /OnlineTravel1/img/image0.jpg HTTP/1.1" 200 213939
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:26 +0530] "GET /OnlineTravel1/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:39 +0530] "GET /OnlineTravel1/img/tour.ico HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:50 +0530] "GET /OnlineTravel1/CustomerRegistration.jsp HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:11:50 +0530] "GET /OnlineTravel1/css/booking.css HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:12:29 +0530] "POST /OnlineTravel1/CustomerRegistrationServlet HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [20/Aug/2016:14:12:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
